Start_Date,Assign_ID,Weight_Result,,Start_Date,Assign_ID,Weight_Result
2018-09-10 23:12,P7166086,135.595,,2018-09-22 8:36,P7187472,138.576
2018-09-10 23:34,P7166087,135.154,,2018-09-22 8:59,P7187473,138.126
2018-09-10 23:55,P7166088,136.725,,2018-09-22 9:20,P7187474,136.648
2018-09-11 0:17,P7166089,136.56,,2018-09-22 9:42,P7187475,139.275
2018-09-11 0:39,P7166090,136.354,,2018-09-22 10:03,P7187476,136.869
2018-09-11 1:00,P7166091,136.521,,2018-09-22 10:26,P7187477,137.43
2018-09-11 1:22,P7166092,136.778,,2018-09-22 10:47,P7187478,135.654
2018-09-11 1:43,P7166093,135.891,,2018-09-22 11:09,P7187479,134.367
2018-09-11 2:04,P7166094,139.844,,2018-09-22 11:31,P7187480,135.239
2018-09-11 2:25,P7166095,141.143,,2018-09-22 11:52,P7187481,136.586
2018-09-11 2:45,P7166096,141.243,,2018-09-22 12:12,P7187482,136.081
2018-09-11 3:09,P7166097,141.623,,2018-09-22 12:34,P7187483,135.24
2018-09-11 3:30,P7166098,140.131,,2018-09-22 12:54,P7187484,134.688
2018-09-11 3:51,P7166099,138.409,,2018-09-22 13:16,P7187485,136.511
2018-09-11 4:12,P7166100,138.601,,2018-09-22 13:36,P7187486,137.263
2018-09-11 4:34,P7188701,138.434,,2018-09-22 13:57,P7166065,138.588
2018-09-11 4:55,P7188702,137.052,,2018-09-22 14:18,P7166066,135.622
2018-09-11 5:15,P7188703,135.198,,2018-09-22 14:39,P7166067,137.915
2018-09-11 5:37,P7188704,135.194,,2018-09-22 15:00,P7166068,137.128
2018-09-11 5:58,P7188705,136.327,,2018-09-22 15:23,P7166069,137.992
2018-09-11 6:20,P7188706,136.776,,2018-09-22 15:44,P7166070,137.393
2018-09-11 6:41,P7188707,135.65,,2018-09-22 16:05,P7166071,139.225
2018-09-11 7:03,P7188708,136.499,,2018-09-22 16:26,P7166072,137.771
2018-09-11 7:25,P7188709,137.197,,2018-09-22 16:47,P7166073,137.885
